species_name	species_description	use_in_aquaculture	ncbi_taxid	references
Acipenser baerii	An ancient species famous for its precious caviar and delicious meat, known for rapid growth and stress resistance.	Commercial	27689	38789922
Acipenser ruthenus	A potamodromous sturgeon that completes its entire life cycle in freshwater. Due to its ecological adaptability, resilience, and shorter maturation time, it is an important model species for sturgeon conservation and aquaculture research. It is significant for the development of sturgeon aquaculture, as its production is very important for both meat and caviar.	Commercial	7906	39965289
Anguilla anguilla	It is a finfish, specifically the European eel, cultivated in intensive aquaculture setups like recirculated freshwater systems. At the 10 to 20 g stage (yellow eels), they are sexually undifferentiated. The purpose of this species is for commercial aquaculture, where it is prone to parasitic infestations requiring chemical treatments.	Commercial	7936	13677510
Anguilla japonica	This is higle edible species but in this paper it is used as eel kidney cell line EK-1 for research purpose. 	Commercial/Research	7937	26939524
Aquarana catesbeiana	A species whose tadpoles are used in research to evaluate the acute toxicity and genotoxic potential of chemicals like formaldehyde, which is used in frog farming. The study aims to manage potential contamination and disease vectors associated with frog farming escapes into the environment.	Commercial	8400	26266476
Arbacia lixula	A sea urchin species whose embryos are utilized in bioassays to evaluate the environmental toxicity of chemical compounds, such as antibiotics and disinfectants, associated with land-based marine fish farms.	Research	7640	22562751
Artemia franciscana	A species of brine shrimp that is widely utilized in the aquaculture industry as a crucial live feed for the early larval stages of various marine fish and crustaceans. Due to its resilience and rapid reproduction, it is also frequently used as a standard model organism in ecotoxicology bioassays and scientific research.	Commercial	6661	30467537
Artemia salina	A brine shrimp species whose cysts and freshly hatched nauplii are utilized as a model organism in acute toxicity bioassays. In this context, its purpose is to evaluate the toxicity and safety of essential oils being tested as potential antibacterial phyto-pharmaceuticals for the aquaculture industry.	Research	85549	36790271
Carassius auratus	Commonly known as the goldfish, it is one of the most important species among freshwater ornamental fish.	Ornamental	7957	34816339
Channa striata	A snakehead fish that is the origin of the SSN-1 and E-11 authenticated cell lines. These cell cultures are used in scientific research to study the pathogenesis and interactions of fish viruses, such as the Tilapia tilapinevirus (TiLV).	Research	64152	34959571
Chimaera monstrosa	A marine fish species that is widely cultured and consumed in Australia, Indonesia, and China. In aquaculture, it is vulnerable to diseases and inflammation caused by marine bacteria, which can result in economic losses for fishermen.	Commercial	7871	36420515
Cirrhinus mrigala	An Indian major carp and cultivable fish species widely used in aquaculture. In research, it is utilized as a bioindicator organism to assess the ecotoxicity and physiological impacts of environmental contaminants like antibiotics.	Commercial/Research	683832	33382204
Clarias gariepinus	An indigenous African freshwater catfish that is also found in other tropical countries. It serves as an attractive model for ecotoxicological research due to its year-round availability.	Commercial/Research	13013	24099453
Colossoma macropomum	The native fish species most commonly produced in South American continental aquaculture. Its commercial production frequently faces financial losses due to parasitic infections, specifically by the acanthocephalan Neoechinorhynchus buttnerae.	Commercial	42526	31679532
Ctenopharyngodon idella	A freshwater fish species widely raised in aquaculture that is highly susceptible to white spot disease caused by the parasite Ichthyophthirius multifiliis. In this study, it is used as the host organism to evaluate the therapeutic efficacy and acute toxicity of emodin, an antiparasitic compound extracted from Chinese herbal medicine.	Commercial	7959	29604998
Cyprinus carpio	A freshwater, omnivorous fish found in lakes and rivers (specifically noted in Nepal) that feeds on aquatic plants and benthic worms. While its wild populations are considered in danger of extinction by the IUCN, its varieties have been domesticated and distributed worldwide for intensive aquaculture.	Commercial	7962	33747562
Danio rerio	A fish species whose larvae and embryos are widely utilized as a model organism in ecotoxicological studies. In this context, their purpose is to help researchers assess the cardiovascular toxicity and potential adverse outcome pathways of environmental pollutants, such as the insecticide emamectin benzoate used in aquaculture.	Research	7955	37499828
